Title,Poem,Poet,Tags,Cluster
Face,"Imagine half your face\n\nrubbed out yet\n\nyou are suited up\n\nand walking\n\nto the office.\n\n \n\nHow will your mates\n\ngreet you?\n\nwith heavy hearts,\n\nflowers,\n\nrosary beads?\n\nHow shall we greet\n\nthe orphan boy,\n\nthe husband whose hand\n\nslipped, children\n\nand wife swept away?\n\n \n\nHow to greet\n\nour new years\n\nand our birthdays?\n\nShall we always\n\nlight a candle?\n\n \n\nDo we remember\n\nthat time erases\n\nthe shore, grass\n\ngrows, pain’s\n\nmodified?\n\n \n\nAt Hikkaduwa\n\nin 1980 I wrote a ditty,\n\na sailor’s song\n\nabout rain\n\nin sunny Ceylon.\n\n \n\nI don’t know\n\nwhat Calypsonians\n\nwould compose\n\nabout this monstrous\n\nwave, this blind hatchet man;\n\n \n\ndon’t know\n\nthe Baila singers’ reply;\n\nwe are a “happy and\n\ngo” people\n\nyet the fisherman’s wife\n\n \n\nknows\n\nthat her grandfather\n\nwas eaten by the ocean—\n\nfisher communities\n\nhave suffered in time\n\n \n\nand what’s happened\n\nnow is just another feast\n\nfor that bloody,\n\nsleeping mother\n\nlapping at our island;\n\n \n\nbut what if the ocean\n\nwere innocent,\n\nthe tectonic plates\n\ninnocent, what if God\n\nwere innocent?\n\n \n\n               *\n\n \n\nI do not know\n\nhow to walk upon the beach,\n\nhow to lift corpse\n\nafter corpse\n\nuntil I am exhausted,\n\n \n\nhow to stop the tears\n\nwhen half my face\n\nhas been rubbed out\n\nbeyond\n\nthe railroad tracks\n\n \n\nand this anaesthetic,\n\nthis calypso come\n\nto the last verse.\n\nWhat shall we write\n\nin the sand?\n\n \n\nWhere are gravestones\n\nincinerated? Whose\n\nashes are these urned\n\nand floating through a house\n\nthrottled by water?\n\n \n\nShall we build\n\na memorial\n\nsome calculated distance\n\nfrom the sea, in a park,\n\nin the shape of a giant wave\n\n \n\nwhere we can write\n\nthe names of the dead?\n\nHas the wave lost\n\nits beauty? Is it now\n\nconsidered obscene?\n\n \n\n               *\n\n \n\nYet tomorrow\n\nwe must go to the ocean\n\nand refresh ourselves\n\nin the sea breeze\n\ndown in Hikkaduwa\n\n \n\nwhere it is raining\n\nin sunny Ceylon.\n\nTomorrow, we must\n\nrenew our vows\n\nat sunrise, at sunset.\n\n \n\nLet us say the next time\n\nthe ocean recedes\n\nand parrots gawk\n\nand flee, and restless\n\ndogs insist their humans\n\n \n\nwake up, we will not peer\n\nat the revelation\n\nof the ocean bed,\n\nnor seek photographs.\n\nWe will run to higher ground,\n\n \n\nand gathered there\n\nwith our children,\n\nour cats, dogs,\n\npigs, with what we’ve\n\ncarried in our hands\n\n \n\n—albums, letters—\n\nwe will make a circle,\n\nkneel, sit,\n\nstand in no particular\n\ndirection, pray\n\n \n\nand be silent,\n\nopen our lungs\n\nand shout thanks\n\nto our gods\n\nthanks to our dogs.\n\n ",Indran Amirthanayagam,Sorrow & Grieving,8
Order,"Jesus did not ride that monstrous wave,\n\nnot Yahweh, Jah, Allah, none of the major\n\n \n\nGods or the minor ones, not even the godless\n\nstrode that bugger which sliced our lives\n\n \n\nin two: the past where we danced ballroom\n\nwhile the children played carom, and mangos\n\n \n\nstained our lapels, and today, hobbling,\n\nscavenging in ash heaps, how easy\n\n \n\nthe arithmetic, day and night, two by two.\n\nBring on the mind workers.\n\n \n\nLet a thousand doctors bloom.\n\nI lived right here on the x, my name\n\n \n\nis blue: sea green blue blue green\n\nI do not speak in tongues. I am not\n\n \n\ndisordered, a babbler. I did not lose\n\nanybody close to me, just 30,000\n\n \n\nfellow island bees, not to worry, machan,\n\nold fellow, I will subscribe tomorrow,\n\n \n\nthe order of every day, skip and jump rope,\n\nwhistle, talk to aid workers, even swim.\n\n ",Indran Amirthanayagam,Faith & Doubt,0
"The City, with Elephants","The elephants of reckoning\n\nare bunches of scruff\n\nmen and women picking up\n\nthrown out antennae\n\nfrom the rubbish\n\nbins of the city\n\n \n\nto fix on their tubular\n\nbells and horn about\n\nby oil can fires\n\nin the freezing midnight\n\nof the old new year\n\n \n\nWe ride by their music\n\nevery hour in cabs on trains\n\nhearing the pit pat\n\nof our grown-wise pulse\n\nshut in shut out\n\n \n\nfrom the animals\n\nof the dry season\n\nthe losers and boozers,\n\nwe must not admit our eyes\n\ninto the courtyard\n\n \n\nthe whimsy of chance\n\nand our other excuses—\n\ndollars in pocket—\n\nto write beautiful songs\n\nis all I ask, God\n\n \n\nto do right with friends\n\nand love a woman\n\nand live to eighty\n\nhave people listen\n\nto the story of my trip to America\n\n \n\nThe elephants of reckoning\n\nare beaten and hungry\n\nand walk their solitary horrors\n\nout every sunrise slurping\n\ncoffee bought with change\n\n \n\nwhile in some houses\n\nfreedom-bound lovers\n\nembrace late and read Tagore\n\nabout the people working\n\nunderneath the falling of empires.\n\n ",Indran Amirthanayagam,"Travels & Journeys,Class",0
Words for the Sri Lanka Tourist Office,"The King Cobra slides\n\nthrough our jungles,\n\nand tucked in bushes\n\nby the riverbanks\n\nthe grand Kabaragoya\n\nholds court among lizards—\n\n \n\nbut if you want to swim\n\nat Mount Lavinia, or fly kites\n\non Galle Face Green, or ride\n\nhorse carts in the Jaffna peninsula\n\nof your ancestors, or bear a child\n\nin Colombo General Hospital,\n\n \n\nor sleep in Cinnamon Gardens\n\nunder a mango tree,\n\nor beg in the Borella Market,\n\nor ride for historical reasons\n\non patrol boats in the Bay,\n\nor stilt-fish off Matara down South,\n\n \n\njust remember here everywhere\n\n \n\nthere is only man burning\n\nand woman burning\n\n \n\nhere everywhere\n\n \n\nin shallow graves\n\nin deep graves\n\nfloating out of salt water\n\nwashing down the sands\n\n \n\nthe dead have tongues\n\nthe dead have ears\n\ntongues are speaking to ears\n\n \n\nWhat are they saying?\n\nWhat are they saying?\n\n \n\nTell us, brown bear\n\nbolting out of your cave.\n\n \n\nTell us, leopard\n\nleaning on your branch.\n\n \n\nTell us, flamingos.\n\nBend your necks\n\nand pour wine pour wine\n\n \n\nHoopoes, kingfishers,\n\ncranes, have you got your messages\n\non the bill, are you ready\n\nto sing? Are you going to sing?\n\n \n\nMonsoon.\n\n \n\nAre you going to sing?\n\n \n\nMonsoon.\n\n \n\nAre you going to sing?\n\n \n\nMonsoon. Monsoon.\n\n ",Indran Amirthanayagam,Weather,0
Kiss,"Kissing your lips\n\nI try to forget roses\n\nor the fruit of palmyra trees\n\nsweet and strong\n\n \n\nTongue lolling upon tongue\n\nheart beating\n\nagainst heart beating,\n\nthese are my words\n\nsignifying our human bodies\n\nwhich poetry does not capture,\n\nthe absolute desire I have\n\nto kiss your lips\n\non this hot and sunny afternoon.\n\n \n\nI do not know how much longer\n\nI can walk about the garden\n\nkissing roses,\n\n \n\nor perambulate the toddy tavern of my dreams\n\nwhere black faces and white toddy mix\n\nin black and white memories\n\nof Jaffna, Sri Lanka,\n\nmy Tamil countrymen\n\nfar away on an island across the sea.\n\n \n\nFar away and far away\n\nthe palmyra fruit and your lips.\n\nTo drink toddy now.\n\nTo kiss your rosy lips now.\n\nTo uproot the roses in my garden\n\nand offer them upon my tongue now.\n\n \n\nTo fly to Sri Lanka\n\nand grab the last fruit on the tree\n\nbefore history throws the Tamils into the sea\n\nas is said it will do;\n\n \n\nbefore all this and everything else,\n\nbefore the apocalypse,\n\nI do so sincerely wish,\n\nthough my words may not fit,\n\nto rest my head in your hair\n\nand kiss your lips.\n\n ",Indran Amirthanayagam,Realistic & Complicated,9
"hamsters are heads with little characteristics on the head, part one",in florida a giant hamster lays in bed worrying about its future\n\nthe hamster has bad eyesight\n\nand many other problems\n\nlater that night the hamster drives its car around\n\nlistening to sad music; the master lightly drums its paws on the steering wheel\n\nthe hamster is alone\n\nbut not for long: at home three waffle friends wait\n\ncooling inside a countertop oven in the kitchen\n\n ,Tao Lin,Pets,1
"hamsters are heads with little characteristics on the head, part three","in the evening the hamster sits at the computer\n\nwatermelon juice and coffee sit by the computer\n\nthe hamster drinks all of the coffee\n\nafter a few minutes the hamster drinks all of the watermelon juice\n\nthe hamster lays its paw atop a neatly folded to-do list; this is a resourceful hamster\n\nwith a strong will, a sincere and loving hamster friend, and a confident nature\n\nwe do not need to spend any more time or empathy on this hamster\n\n ",Tao Lin,Pets,6
thirteen of twenty-four,"notice how my forehead approaches you at a high speed\n\nnotice the contortions on my face; hear and feel the impact\n\nof my forehead against your eyebrow\n\nnever get angry if someone doesn’t do things for you\n\nreact to disappointment by being quiet and nice\n\nand alone, not by being confrontational or frustrated\n\nin 1952 a DSM copy-editor removed ‘headbutting’\n\nfrom the entry for ‘psychopathic behavior’\n\nthereafter the headbutt has thrived\n\nacross all social, political, and elementary school gym classes\n\ntoday the headbutt is a sign of friendship, stability, and inner calm\n\nthe exponential effect of your repeated lies makes me afraid what will happen\n\nto us; ‘the perfect headbutt’ destroys both participants and impresses\n\neven the severely disillusioned, and the phrase ‘giant poem’ reverberates\n\nthrough my head with the austerity of ancient ruins, the off-centered beauty\n\nof repressed veganism, and the lord of the rings trilogy\n\nI forgot what this poem was about\n\n ",Tao Lin,The Body,2
Turtle Came to See Me,"The first story I ever write\n\nis a bright crayon picture\n\nof a dancing tree, the branches\n\ntossed by island wind.\n\nI draw myself standing beside the tree,\n\nwith a colorful parrot soaring above me,\n\nand a magical turtle clasped in my hand,\n\nand two yellow wings fluttering\n\non the proud shoulders of my ruffled\n\nCuban rumba dancer's\n\nfancy dress.\n\nIn my California kindergarten class,\n\nthe teacher scolds me: REAL TREES\n\nDON'T LOOK LIKE THAT.\n\nIt's the moment\n\nwhen I first\n\nbegin to learn\n\nthat teachers\n\ncan be wrong.\n\nThey have never seen\n\nthe dancing plants\n\nof Cuba.\n\n ",Margarita Engle,,0
Kinship,"Two sets\n\nof family stories,\n\none long and detailed,\n\nabout many centuries\n\nof island ancestors, all living\n\non the same tropical farm...\n\nThe other side of the family tells stories\n\nthat are brief and vague, about violence\n\nin the Ukraine, which Dad's parents\n\nhad to flee forever, leaving all their\n\nloved ones\n\nbehind.\n\nThey don't even know if anyone\n\nsurvived.\n\nWhen Mami tells her flowery tales of Cuba,\n\nshe fills the twining words with relatives.\n\nBut when I ask my\n\nUkrainian-Jewish-American grandma\n\nabout her childhood in a village\n\nnear snowy Kiev,\n\nall she reveals is a single\n\nmemory\n\nof ice-skating\n\non a frozen pond.\n\nApparently, the length\n\nof a grown-up's\n\ngrowing-up story\n\nis determined\n\nby the difference\n\nbetween immigration\n\nand escape.\n\n ",Margarita Engle,,9
Ritmo/Rhythm,"Mad has decided to catch a vulture,\n\nthe biggest bird she can find.\n\n \n\nShe is so determined, and so inventive,\n\nthat by stringing together a rickety trap\n\nof ropes and sticks, she creates\n\na puzzling structure that just might\n\nbe clever enough to trick a buzzard,\n\nonce the trap’s baited with leftover pork\n\nfrom supper.\n\n \n\nMad and I used to do everything together,\n\nbut now I need a project all my own,\n\nso I roam the green fields,\n\nfinding bones.\n\n \n\nThe skull of a wild boar.\n\nThe jawbone of a mule.\n\n \n\nOlder cousins show me\n\nhow to shake the mule’s quijada,\n\nto make the blunt teeth\n\nrattle.\n\n \n\nGuitars.\n\nDrums.\n\nGourds.\n\nSticks.\n\n \n\nA cow bell.\n\nA washboard.\n\nPretty soon, we have\n\na whole orchestra.\n\n \n\nOn Cuban farms, even death\n\ncan turn into\n\nmusic.\n\n ",Margarita Engle,,0
More Dangerous Air,"Newsmen call it the Cuban Missile Crisis.\n\nTeachers say it's the end of the world.\n\nAt school, they instruct us to look up\n\nand watch the Cuban-cursed sky.\n\nSearch for a streak of light.\n\nListen for a piercing shriek,\n\nthe whistle that will warn us\n\nas poisonous A-bombs\n\nzoom close.\n\nHide under a desk.\n\nPretend that furniture is enough\n\nto protect us against perilous flames.\n\nRadiation. Contamination. Toxic breath.\n\nEach air-raid drill is sheer terror,\n\nbut some of the city kids giggle.\n\nThey don't believe that death\n\nis real.\n\nThey've never touched a bullet,\n\nor seen a vulture, or made music\n\nby shaking\n\nthe jawbone\n\nof a mule.\n\nWhen I hide under my frail school desk,\n\nmy heart grows as rough and brittle\n\nas the slab of wood\n\nthat fails to protect me\n\nfrom reality's\n\ngloom.",Margarita Engle,"Coming of Age,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity,War & Conflict",1
